"Subset","Detail"
"30v5_Up","Mrtfb"
"30v5_Up","Mtdh"
"30v5_Up","Nacc1"
"30v5_Up","Nav3"
"30v5_Up","Ncdn"
"30v5_Up","Ncoa6"
"30v5_Up","Ncor1"
"30v5_Up","Ndrg4"
"30v5_Up","Nefl"
"30v5_Up","Nell2"
"30v5_Up","Neurod2"
"30v5_Up","Neurod6"
"30v5_Up","Nomo1"
"30v5_Up","Nptn"
"30v5_Up","Nr3c2"
"30v5_Up","Nr4a1"
"30v5_Up","Nrg3"
"30v5_Up","Nrxn2"
"30v5_Up","Ogfod1"
"30v5_Up","Olfm1"
"30v5_Up","Olfm3"
"30v5_Up","Pcnx"
"30v5_Up","Pde10a"
"30v5_Up","Pde2a"
"30v5_Up","Pde8b"
"30v5_Up","Pdzd4"
"30v5_Up","Pgs1"
"30v5_Up","Phactr1"
"30v5_Up","Pip5k1c"
"30v5_Up","Pitpnm1"
"30v5_Up","Pitpnm2"
"30v5_Up","Pja2"
"30v5_Up","Pls3"
"30v5_Up","Plxna4"
"30v5_Up","Pnrc1"
"30v5_Up","Ppm1e"
"30v5_Up","Ppp1r12a"
"30v5_Up","Ppp1r13b"
"30v5_Up","Ppp1r9b"
"30v5_Up","Ppp2r2c"
"30v5_Up","Ppp3ca"
"30v5_Up","Ppp3cb"
"30v5_Up","Ppp3r1"
"30v5_Up","Prkacb"
"30v5_Up","Prkca"
"30v5_Up","Prkcb"
"30v5_Up","Prkce"
"30v5_Up","Prnp"
"30v5_Up","Prr14l"
"30v5_Up","Prrc2b"
"30v5_Up","Ptk2b"
"30v5_Up","Ptprs"
"30v5_Up","Rab3gap1"
"30v5_Up","Rab3gap2"
"30v5_Up","Rai1"
"30v5_Up","Rapgef5"
"30v5_Up","Rasal2"
"30v5_Up","Rasgef1a"
"30v5_Up","Rasgrf1"
"30v5_Up","Rasgrp1"
"30v5_Up","Rasl10b"
"30v5_Up","Rbfox2"
"30v5_Up","Rnf157"
"30v5_Up","Rpl4"
"30v5_Up","Rps6kc1"
"30v5_Up","Rsbn1"
"30v5_Up","Rtn1"
"30v5_Up","Rtn3"
"30v5_Up","Rtn4rl1"
"30v5_Up","Rusc2"
"30v5_Up","Ryr3"
