"gene_name","comparison","log2FC","pvalue","significance_status","labeled","label_direction"
"Arpp21","5v0",-0.040870343988314,0.958586325088516,"NS","No","Not_labeled"
"Arrb1","5v0",0.239942347201712,0.278954722642041,"NS","No","Not_labeled"
"Arrdc3","5v0",0.93663805743877,0.596535478893311,"NS","No","Not_labeled"
"Arsb","5v0",-0.137305499975267,0.816213025182293,"NS","No","Not_labeled"
"Asap2","5v0",1.52877411835884,0.189955535498934,"NS","No","Not_labeled"
"Ascc3","5v0",0.254064623783318,0.0591464549843992,"NS","No","Not_labeled"
"Ash1l","5v0",0.0415717491938512,0.776327640632558,"NS","No","Not_labeled"
"Asic2","5v0",0.145960975451764,0.780048018588355,"NS","No","Not_labeled"
"Asns","5v0",0.886619576989353,0.610568156072277,"NS","No","Not_labeled"
"Asph","5v0",0.513830103366173,0.358226169753358,"NS","No","Not_labeled"
"Asphd2","5v0",-0.793923848317146,0.100327902402952,"NS","No","Not_labeled"
"Astn1","5v0",0.242976643067946,0.549474339591975,"NS","No","Not_labeled"
"Astn2","5v0",-0.173203355997396,0.680805528417138,"NS","No","Not_labeled"
"Asxl2","5v0",1.11292929049329,0.107142293991696,"NS","No","Not_labeled"
"Asxl3","5v0",-0.635955857424854,0.234020179904045,"NS","No","Not_labeled"
"Atad2b","5v0",1.503052886052,0.0883716718059411,"NS","No","Not_labeled"
"Atcay","5v0",-0.331808099678971,0.378885990559602,"NS","No","Not_labeled"
"Ate1","5v0",0.410893692829949,0.731432046874186,"NS","No","Not_labeled"
"Atf3","5v0",-2.86445951057596,0.0422456517393646,"CLIP_Down","No","Not_labeled"
"Atf4","5v0",2.21323291891705,0.240824823741703,"NS","No","Not_labeled"
"Atf6","5v0",-0.84954902204364,0.00764014795029243,"CLIP_Down","No","Not_labeled"
"Atf7","5v0",0.374320098748585,0.624530896307322,"NS","No","Not_labeled"
"Atf7ip","5v0",0.0157604397929823,0.94707237935347,"NS","No","Not_labeled"
"Atg13","5v0",-0.70751562501961,0.107845150343736,"NS","No","Not_labeled"
"Atg16l1","5v0",3.04373116886709,0.0145707910381884,"CLIP_Up","No","Not_labeled"
"Atg2a","5v0",-0.683229124414733,0.211099945236819,"NS","No","Not_labeled"
"Atg2b","5v0",-0.0919032414803249,0.566596002468492,"NS","No","Not_labeled"
"Atg4c","5v0",0.855175478453583,0.504454491996518,"NS","No","Not_labeled"
"Atg7","5v0",-0.603142659362149,0.551700621279232,"NS","No","Not_labeled"
"Atl1","5v0",0.17993075226019,0.730983359669538,"NS","No","Not_labeled"
"Atl2","5v0",2.00256922986455,0.100419610634838,"NS","No","Not_labeled"
"Atm","5v0",-0.446505773938343,0.0859986699646321,"NS","No","Not_labeled"
"Atmin","5v0",-0.576558320703561,0.0630766967420725,"NS","No","Not_labeled"
"Atn1","5v0",-0.708505735526112,0.178100445887212,"NS","No","Not_labeled"
"Atosa","5v0",-0.189524077018967,0.732033682955989,"NS","No","Not_labeled"
"Atp11a","5v0",-0.0232856420650847,0.972751280452513,"NS","No","Not_labeled"
"Atp11b","5v0",-0.945124972762273,0.143913655413859,"NS","No","Not_labeled"
"Atp11c","5v0",1.14234147880548,0.109905947826668,"NS","No","Not_labeled"
"Atp13a2","5v0",1.93653971739638,0.207125845520569,"NS","No","Not_labeled"
"Atp13a3","5v0",0.0548809177617886,0.837875767639595,"NS","No","Not_labeled"
"Atp1a1","5v0",-0.30105020311746,0.663680977399035,"NS","No","Not_labeled"
