"gene_name","CLIP_log2FC_5v0","CLIP_pvalue_5v0","Significant_5v0","Direction_5v0","CLIP_log2FC_30v5","CLIP_pvalue_30v5","Significant_30v5","Direction_30v5","Detected_in_5v0_CLIP_analysis","Detected_in_30v5_CLIP_analysis"
"Dact3",-0.24489976988483164,0.6609525124492172,FALSE,"Not significant",1.1170685796544504,0.10618112416236962,FALSE,"Not significant",TRUE,TRUE
"Ddn",-0.22386043567443803,0.6128028397212498,FALSE,"Not significant",1.569162639199308,0.01470765824215261,TRUE,"Increased",TRUE,TRUE
"Ddx6",-0.08956017609675548,0.7381517973063482,FALSE,"Not significant",0.1551683141218838,0.7378731842047216,FALSE,"Not significant",TRUE,TRUE
"Dennd5a",-0.05393822089361411,0.6992627536010866,FALSE,"Not significant",0.19923946754816058,0.5937070203569701,FALSE,"Not significant",TRUE,TRUE
"Dgkz",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Dlg2",-0.581454481805709,0.35494022199182773,FALSE,"Not significant",2.0152144251266315,0.03331843313924795,TRUE,"Increased",TRUE,TRUE
"Dlg4",-0.1581569813614392,0.7646295038579558,FALSE,"Not significant",0.7936598111002482,0.3295452485823208,FALSE,"Not significant",TRUE,TRUE
"Dlgap1",0.00521743190447399,0.991745335803843,FALSE,"Not significant",0.8938925595802534,0.1441292520077225,FALSE,"Not significant",TRUE,TRUE
"Dlgap3",-0.0639992718721678,0.9168762639629606,FALSE,"Not significant",1.089969385192004,0.2438185145360769,FALSE,"Not significant",TRUE,TRUE
"Dlgap4",-0.1272146172609525,0.8217000573200428,FALSE,"Not significant",0.8766744197599428,0.2107582335324151,FALSE,"Not significant",TRUE,TRUE
"Dmtn",-0.200703359389939,0.45275711324434287,FALSE,"Not significant",1.27355892149663,0.034017030242032426,TRUE,"Increased",TRUE,TRUE
"Dmxl2",-0.10954789477009719,0.5235055136003125,FALSE,"Not significant",0.6443920683652316,0.05520883034843332,FALSE,"Not significant",TRUE,TRUE
"Dok6",0.1621724161261291,0.7461136010534717,FALSE,"Not significant",0.6287652504738945,0.4058554166099152,FALSE,"Not significant",TRUE,TRUE
"Dopey2",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Dpp8",-0.11974429548455312,0.4826984030011622,FALSE,"Not significant",0.5777696217691624,0.10124345315957169,FALSE,"Not significant",TRUE,TRUE
"Dst",0.5198919275637153,0.14795159623733592,FALSE,"Not significant",-1.4318438169199148,0.01476364712746957,TRUE,"Decreased",TRUE,TRUE
"Dusp7",0.3415684185494454,0.5077784117172361,FALSE,"Not significant",0.43927562073760473,0.5970618335870644,FALSE,"Not significant",TRUE,TRUE
"Dusp8",-0.4497153144014554,0.14731104482954768,FALSE,"Not significant",1.4696444602522583,0.002689130369712604,TRUE,"Increased",TRUE,TRUE
"Dync1h1",0.048482552270516344,0.5759105115099716,FALSE,"Not significant",0.13357704701774153,0.7795143830711713,FALSE,"Not significant",TRUE,TRUE
"Dzip1",0.09435061727878846,0.6164837847771597,FALSE,"Not significant",0.15687795164716345,0.660949275916584,FALSE,"Not significant",TRUE,TRUE
"Eef1a1",0.15704475100062698,0.6342051802821607,FALSE,"Not significant",1.2165749034213134,0.17814417126524426,FALSE,"Not significant",TRUE,TRUE
"Eef1a2",-0.14068202415659492,0.7827541022744926,FALSE,"Not significant",1.483136732314664,0.07653312193630164,FALSE,"Not significant",TRUE,TRUE
"Eef2",0.18996539296804738,0.14584815698419956,FALSE,"Not significant",1.0361752600209702,0.0017287102272062862,TRUE,"Increased",TRUE,TRUE
"Ehmt2",0.3302837147873481,0.6341967392683808,FALSE,"Not significant",-2.1513526104556404,0.42826651164745055,FALSE,"Not significant",TRUE,TRUE
"Eif3f",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Elfn2",-0.015186461396265116,0.969030493647534,FALSE,"Not significant",0.5481601585261262,0.3370609517795443,FALSE,"Not significant",TRUE,TRUE
"Eml2",3.130449625150339,0.11313192892468839,FALSE,"Not significant",-4.2206294553449215,0.11575857276817784,FALSE,"Not significant",TRUE,TRUE
"Entpd4",1.002004765097818,0.47393022323911027,FALSE,"Not significant",-2.9539892219393025,0.187883335631524,FALSE,"Not significant",TRUE,TRUE
"Epb41l1",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Epn1",0.1597492256171993,0.5781786999064098,FALSE,"Not significant",-1.2760418889404894,0.4754489859159958,FALSE,"Not significant",TRUE,TRUE
"Exoc6b",-0.04968027883823134,0.7928395413979535,FALSE,"Not significant",0.4577200953624677,0.28284657213531683,FALSE,"Not significant",TRUE,TRUE
"Fasn",-0.12700954056437652,0.7207503415122191,FALSE,"Not significant",0.3424720456766739,0.6660759308231496,FALSE,"Not significant",TRUE,TRUE
"Fbxl16",-0.1273873646614252,0.7627606220271751,FALSE,"Not significant",1.3775742429282243,0.02870239256546655,TRUE,"Increased",TRUE,TRUE
"Fbxo11",-0.16380563246322222,0.5892281580408587,FALSE,"Not significant",0.3749103451393916,0.4345605708784691,FALSE,"Not significant",TRUE,TRUE
"Frmpd4",-0.10559738634569182,0.5386091958906423,FALSE,"Not significant",-0.3405339190417147,0.5640953603032409,FALSE,"Not significant",TRUE,TRUE
"Fry",-0.10337137180341438,0.3670896423445958,FALSE,"Not significant",0.4831353069075992,0.11642531858354356,FALSE,"Not significant",TRUE,TRUE
"Fth1",0.12169736942322551,0.565620737325494,FALSE,"Not significant",0.5157672653275904,0.3110779856583857,FALSE,"Not significant",TRUE,TRUE
"Fxr1",1.3796972675314911,0.3029075353343097,FALSE,"Not significant",-1.8513007437856999,0.32653643144612576,FALSE,"Not significant",TRUE,TRUE
"Gabbr1",-0.39248252305637266,0.1567005498546367,FALSE,"Not significant",1.2708441546324956,0.0032203129640633443,TRUE,"Increased",TRUE,TRUE
"Gabbr2",-0.28528286309859974,0.13533706558546907,FALSE,"Not significant",1.0748672261530317,0.01735458181168761,TRUE,"Increased",TRUE,TRUE
"Gcc2",0.8720152923064441,0.043608431898535055,TRUE,"Increased",-0.49644548120428755,0.4477893322354388,FALSE,"Not significant",TRUE,TRUE
"Gga2",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Git1",-0.23098111071192395,0.5508577067679163,FALSE,"Not significant",1.2353207758236433,0.037059698453701835,TRUE,"Increased",TRUE,TRUE
"Gm15800",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Gm996",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Gnas",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Gnb1",-0.5897043827814157,0.13220297084853522,FALSE,"Not significant",1.714786449372502,0.015715477433008426,TRUE,"Increased",TRUE,TRUE
"Gng7",-1.5538450177159917,0.002172803928335644,TRUE,"Decreased",1.1593198998076724,0.552064147590449,FALSE,"Not significant",TRUE,TRUE
"Gpi1",0.048491215376468944,0.8959618525718487,FALSE,"Not significant",0.013666050582009426,0.9829223011216781,FALSE,"Not significant",TRUE,TRUE
"Grik5",-0.05083184909642924,0.7994406134492701,FALSE,"Not significant",0.44861464193576817,0.43153987221861523,FALSE,"Not significant",TRUE,TRUE
"Grin2a",-0.30199362864191226,0.2894292918424933,FALSE,"Not significant",1.200895167532075,0.03322494065341422,TRUE,"Increased",TRUE,TRUE
"Grin2b",-0.1588521792965274,0.5005795596009449,FALSE,"Not significant",0.8608663591985168,0.060702716608701114,FALSE,"Not significant",TRUE,TRUE
"Grm5",-0.11712682070396463,0.5581485827167525,FALSE,"Not significant",1.149424033780433,0.018636579866223496,TRUE,"Increased",TRUE,TRUE
"Hcfc1",-0.2518847286013246,0.16436363410926993,FALSE,"Not significant",0.6269356828689894,0.18464624422741582,FALSE,"Not significant",TRUE,TRUE
"Hcn2",-0.1516511909308873,0.4850939627696007,FALSE,"Not significant",0.7995211354246283,0.287837437483667,FALSE,"Not significant",TRUE,TRUE
"Hdac5",-0.5614872362814145,0.4330634440043575,FALSE,"Not significant",1.1121468690574314,0.5299985208149999,FALSE,"Not significant",TRUE,TRUE
"Herc2",-0.13406144862507574,0.4013693918545247,FALSE,"Not significant",0.33057729270086433,0.1039336589467245,FALSE,"Not significant",TRUE,TRUE
"Hipk1",-0.01897689144968595,0.926959912366761,FALSE,"Not significant",-0.3889416422827896,0.28998764332206206,FALSE,"Not significant",TRUE,TRUE
"Hivep2",-0.14349846917199027,0.6042089021887429,FALSE,"Not significant",1.0301954791256733,0.03151669928091716,TRUE,"Increased",TRUE,TRUE
"Hmgxb4",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Hpca",-0.4195665969541471,0.4012178363481219,FALSE,"Not significant",1.7476932811755654,0.014095949211875968,TRUE,"Increased",TRUE,TRUE
"Hpcal4",-0.39236494512945796,0.19378217540343706,FALSE,"Not significant",1.904056282118551,0.0021868347810531214,TRUE,"Increased",TRUE,TRUE
"Hs6st3",NA,NA,FALSE,"Not detected",1.1703783357274329,0.06734995864851541,FALSE,"Not significant",FALSE,TRUE
"Hspa8",-0.18795234598940436,0.6956488396507997,FALSE,"Not significant",-0.1117467118654294,0.9547533110772841,FALSE,"Not significant",TRUE,TRUE
"Huwe1",-0.17650628776377442,0.2690512214783484,FALSE,"Not significant",0.8169491935587567,0.024773912512428317,TRUE,"Increased",TRUE,TRUE
"Ids",-0.37747411121458896,0.047907999435430344,TRUE,"Decreased",1.0297761717341247,0.0708069180517924,FALSE,"Not significant",TRUE,TRUE
"Iqsec1",-0.289207196631208,0.14638506545379476,FALSE,"Not significant",0.8351111069669357,0.15693512239921817,FALSE,"Not significant",TRUE,TRUE
"Iqsec2",-0.42248706324532925,0.11532359198970131,FALSE,"Not significant",1.6182778541825176,0.009426846651012571,TRUE,"Increased",TRUE,TRUE
"Iqsec3",-0.5072403055523242,0.054366999780500955,FALSE,"Not significant",0.6649168778496266,0.43283955804333074,FALSE,"Not significant",TRUE,TRUE
"Itpka",-0.5748053039147858,0.3276835215761284,FALSE,"Not significant",-0.06795560380178123,0.9679043331227549,FALSE,"Not significant",TRUE,TRUE
"Itpr1",-0.029633559802311193,0.924351884697026,FALSE,"Not significant",0.9137360258213829,0.025078828544021825,TRUE,"Increased",TRUE,TRUE
"Jph3",0.10082228962143702,0.831568734990211,FALSE,"Not significant",0.8788081228194864,0.1344105911558317,FALSE,"Not significant",TRUE,TRUE
"Jph4",-0.05537124293446283,0.8717951574599143,FALSE,"Not significant",1.1015238534226075,0.04042487783611324,TRUE,"Increased",TRUE,TRUE
"Kalrn",-0.3149802236217383,0.42561349495984624,FALSE,"Not significant",0.7347659480778135,0.14885843684083644,FALSE,"Not significant",TRUE,TRUE
"Kcnab2",0.3367333466393707,0.34345837823414904,FALSE,"Not significant",0.08548683115765021,0.923702264622399,FALSE,"Not significant",TRUE,TRUE
"Kcnh7",-0.0699831805687321,0.8762085472614916,FALSE,"Not significant",0.481851927484662,0.5440165867494815,FALSE,"Not significant",TRUE,TRUE
"Kcnip3",-0.06473524651953677,0.9499380691885704,FALSE,"Not significant",0.03752437591630842,0.9859481668100698,FALSE,"Not significant",TRUE,TRUE
"Kcnk9",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Kcnma1",0.5316691668099749,0.4056004968674579,FALSE,"Not significant",0.1578148847778308,0.8489092542045826,FALSE,"Not significant",TRUE,TRUE
"Kcnq2",-0.5129233306071268,0.17508912293634146,FALSE,"Not significant",1.8384913571037607,0.002235792449745846,TRUE,"Increased",TRUE,TRUE
"Kcnq3",-0.11270596286120993,0.7947774000710067,FALSE,"Not significant",0.2234970916791279,0.6469030962048387,FALSE,"Not significant",TRUE,TRUE
"Kctd1",0.14003375183744216,0.6186980789015585,FALSE,"Not significant",-0.3882965855910061,0.7330032179817374,FALSE,"Not significant",TRUE,TRUE
"Kctd15",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Kif1a",-0.39635837789647876,0.05059682969416038,FALSE,"Not significant",1.259190613425612,0.005379552338656346,TRUE,"Increased",TRUE,TRUE
"Kif1b",-0.0675670444209926,0.6869885490291929,FALSE,"Not significant",0.12212653667761408,0.6692346789246242,FALSE,"Not significant",TRUE,TRUE
"Kif5a",-0.19256900502204743,0.39295470519918396,FALSE,"Not significant",1.1622083859918053,0.004789860109462819,TRUE,"Increased",TRUE,TRUE
"Kif5c",-0.2626517885228239,0.2936091038010486,FALSE,"Not significant",1.0859755108405125,0.019722881173003765,TRUE,"Increased",TRUE,TRUE
"Kifc2",-0.37174548057945067,0.37852700909702763,FALSE,"Not significant",0.47783326851510743,0.3783860951772916,FALSE,"Not significant",TRUE,TRUE
"Klf13",-0.2946517464483507,0.4542550710936314,FALSE,"Not significant",1.007882579909078,0.05602298552779354,FALSE,"Not significant",TRUE,TRUE
"Lars2",-0.007503445349344773,0.9838595890760765,FALSE,"Not significant",0.8005491740486192,0.09930879541243133,FALSE,"Not significant",TRUE,TRUE
"Lats2",0.16951987596132945,0.6130550181013172,FALSE,"Not significant",-0.7246132660525286,0.4349768351103357,FALSE,"Not significant",TRUE,TRUE
"Lhfp",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Lingo1",-0.784770669706413,0.030670343849705628,TRUE,"Decreased",1.830142421254179,0.010728691763850442,TRUE,"Increased",TRUE,TRUE
"Lmtk2",-0.3877068333464093,0.151193119353455,FALSE,"Not significant",0.39819549046494984,0.47889695289634915,FALSE,"Not significant",TRUE,TRUE
"Lnpep",-0.11280056675146266,0.6556995285363305,FALSE,"Not significant",0.24119076114345983,0.5912219316941764,FALSE,"Not significant",TRUE,TRUE
"Lrrc10b",-0.30592940572136484,0.5042835298325179,FALSE,"Not significant",-3.903147098406586,0.16574828944892933,FALSE,"Not significant",TRUE,TRUE
"Lrrc4b",-0.29033299619521014,0.4474989523900692,FALSE,"Not significant",0.7786152791976924,0.13127502839423394,FALSE,"Not significant",TRUE,TRUE
"Lrrc4c",0.037750515212105484,0.9166568505086776,FALSE,"Not significant",0.5604565710877112,0.4271652659553947,FALSE,"Not significant",TRUE,TRUE
"Lrrc7",-0.014283498315433851,0.9502984074897391,FALSE,"Not significant",0.6990927490670702,0.19680466860212298,FALSE,"Not significant",TRUE,TRUE
"Lrrc8b",-1.090109923594264,0.033640732876870895,TRUE,"Decreased",1.9773256808063298,0.04049782804843817,TRUE,"Increased",TRUE,TRUE
"Lztr1",0.2738470156034074,0.6932010547813439,FALSE,"Not significant",-0.21198962978325797,0.9155858945925184,FALSE,"Not significant",TRUE,TRUE
"Magi2",-0.3882946273206358,0.03237300946589288,TRUE,"Decreased",1.171438390000441,5.477774473931626e-4,TRUE,"Increased",TRUE,TRUE
"Man2a2",0.13047237690462055,0.3123421968014319,FALSE,"Not significant",-0.019032313269037537,0.9437246380014492,FALSE,"Not significant",TRUE,TRUE
"Map1a",-0.27225291129846596,0.25934824522448724,FALSE,"Not significant",0.8775119658739463,0.042837703233135016,TRUE,"Increased",TRUE,TRUE
"Map1b",-0.2336830986965852,0.35564804430939934,FALSE,"Not significant",1.0668370924686679,0.02611205384215895,TRUE,"Increased",TRUE,TRUE
"Map2",-0.1834514115436674,0.5404895109948732,FALSE,"Not significant",1.2860864381586525,0.011634501782888662,TRUE,"Increased",TRUE,TRUE
"Map3k10",-0.1731371570033735,0.604985038630499,FALSE,"Not significant",-1.1506904147316819,0.5299757856546121,FALSE,"Not significant",TRUE,TRUE
"Mapk8ip1",0.060030742679268556,0.7970121154966405,FALSE,"Not significant",0.03106909633108046,0.9363300110860413,FALSE,"Not significant",TRUE,TRUE
"Marf1",-0.18451470171350604,0.4047151304918838,FALSE,"Not significant",0.7509592683143538,0.013115604720233666,TRUE,"Increased",TRUE,TRUE
"Mark4",-0.9375458105082326,0.06761590924824161,FALSE,"Not significant",0.1326663981966102,0.9231253968326936,FALSE,"Not significant",TRUE,TRUE
"Mast2",-0.3553916040040468,0.21951329101722294,FALSE,"Not significant",1.5907586498544344,0.014976232604238011,TRUE,"Increased",TRUE,TRUE
"Mast3",-0.5804332971411688,0.02520824463829343,TRUE,"Decreased",1.8743442012832228,0.0037947078401471984,TRUE,"Increased",TRUE,TRUE
"Matr3",-0.16213475250311937,0.718552445840986,FALSE,"Not significant",0.5864848807051888,0.3429629860644623,FALSE,"Not significant",TRUE,TRUE
"Maz",-0.21277674773390842,0.622871997993486,FALSE,"Not significant",0.5124642669724988,0.44661985152313033,FALSE,"Not significant",TRUE,TRUE
"Me1",1.9420311186304755,0.07104276924871492,FALSE,"Not significant",-3.8765502113110797,0.01594665118191453,TRUE,"Decreased",TRUE,TRUE
