"gene_name","Control_0min_Mean_CLIPscore","Control_0min_Binding_Category","Opto_5min_Mean_CLIPscore","Opto_5min_Binding_Category","Opto_30min_Mean_CLIPscore","Opto_30min_Binding_Category"
"Cd99l2",-2.8155699412435,"Non_target",-2.99848497227161,"Non_target",-2.27745374745814,"Non_target"
"Cdadc1",-2.46085070339121,"Non_target",-2.4365678765889,"Non_target",-1.8864543567639,"Non_target"
"Cdan1",-0.919622754221814,"Non_target",-0.845906335241139,"Non_target",-0.616623481967058,"Non_target"
"Cdc123",-3.51555897388741,"Non_target",-3.52244010706643,"Non_target",-2.76273905529511,"Non_target"
"Cdc14b",2.14324238687496,"Low_binding",4.31728664489167,"Stringent_target",3.88391014896069,"High_binding"
"Cdc16",1.25329422003218,"Non_target",1.65713334631614,"Non_target",3.26605426606765,"High_binding"
"Cdc23",1.59711600912273,"Non_target",3.52370523991879,"High_binding",1.06728532684309,"Non_target"
"Cdc25a",0.121267974299504,"Non_target",-0.2014658460872,"Non_target",0.0771240428225242,"Non_target"
"Cdc25b",-0.997017367668379,"Non_target",-1.03112189038024,"Non_target",-0.687976219726703,"Non_target"
"Cdc26",-1.99227825271462,"Non_target",-2.17585467270235,"Non_target",-1.59640840076798,"Non_target"
"Cdc27",4.8874543671194,"Stringent_target",4.11938511472213,"Stringent_target",3.85018396478065,"High_binding"
"Cdc34",-2.85442192148494,"Non_target",-2.93766546408287,"Non_target",-2.21793851065656,"Non_target"
"Cdc37",-3.41562691360914,"Non_target",-3.53494539450392,"Non_target",-2.69830782276381,"Non_target"
"Cdc37l1",0.847054473782402,"Non_target",3.16570525722964,"High_binding",1.88901888885015,"Non_target"
"Cdc40",1.55393474501083,"Non_target",1.04255667941422,"Non_target",-0.0303580571486372,"Non_target"
"Cdc42",1.37518843000645,"Non_target",0.6529504716964,"Non_target",0.998361596131116,"Non_target"
"Cdc42bpa",2.96832506457269,"Low_binding",2.79283301670019,"Low_binding",2.89462876706865,"Low_binding"
"Cdc42bpb",4.2320881516458,"Stringent_target",4.08637980830526,"Stringent_target",3.16965892829626,"High_binding"
"Cdc42ep1",-0.0237669442180551,"Non_target",-0.222429423924664,"Non_target",0.251439808645352,"Non_target"
"Cdc42ep2",0.0821055840759957,"Non_target",-0.167780154744453,"Non_target",0.260104098877371,"Non_target"
"Cdc42ep3",0.506981824971506,"Non_target",0.727414044527395,"Non_target",0.556145026849712,"Non_target"
"Cdc42ep4",0.498132529221195,"Non_target",3.07127776296125,"High_binding",1.22048162289754,"Non_target"
"Cdc42se1",-3.15420826205947,"Non_target",-3.15623936052922,"Non_target",-2.39702724096769,"Non_target"
"Cdc42se2",0.226706843926274,"Non_target",-0.577919519605541,"Non_target",-1.03250261482602,"Non_target"
"Cdc5l",0.975801414489216,"Non_target",-0.453645709012429,"Non_target",-1.75519878818208,"Non_target"
"Cdc7",-0.752474042402539,"Non_target",-0.79362476475701,"Non_target",-0.423453562697181,"Non_target"
"Cdc73",1.92710299965954,"Non_target",2.16675772875218,"Low_binding",2.62693067801285,"Low_binding"
"Cdca4",-0.561262559450818,"Non_target",-0.466189866731646,"Non_target",-0.207592288829389,"Non_target"
"Cdca8",0.751134936258348,"Non_target",0.582606111706616,"Non_target",0.924163387795001,"Non_target"
