"gene_name","Pathway_group","log2FC_5v0","pvalue_5v0","padj_5v0","log2FC_30v5","pvalue_30v5","padj_30v5","Significant_reversal","Temporal_category","Plot_category"
"Cenpa","Nuclear: decreased at 5 min",-0.5584664851821317,0.0017938661594408194,0.023588685300968148,0.8263929137063389,0.0012793981891778422,0.017517474313430547,TRUE,"Significant reversal","Nuclear reversal"
"Chd1","Nuclear: decreased at 5 min",-0.44925694958792806,1.4211417820761521e-5,6.649836156909579e-4,0.3120357050949731,0.0024857399826708785,0.02805433128556241,TRUE,"Significant reversal","Nuclear reversal"
"Clk1","Nuclear: decreased at 5 min",-0.3464285053899418,0.002515537672163669,0.030551327237299742,0.8815241070053935,0.0016817732440741152,0.021446979374533517,TRUE,"Significant reversal","Nuclear reversal"
"Clk4","Nuclear: decreased at 5 min",-0.42874767230093636,4.436105742176217e-4,0.008765972023250957,0.8066872781354295,3.380246612037831e-6,2.675410673321297e-4,TRUE,"Significant reversal","Nuclear reversal"
"Cwc25","Nuclear: decreased at 5 min",-0.3778075280590278,1.2625977648110622e-5,6.203372381746714e-4,0.41743923297245605,7.536380626547852e-5,0.0022999083961813198,TRUE,"Significant reversal","Nuclear reversal"
"Cxcl14","Nuclear: decreased at 5 min",-0.36536588273092824,0.0025155593710053446,0.030551327237299742,0.5485925908134899,1.831632354329987e-4,0.004123021233563354,TRUE,"Significant reversal","Nuclear reversal"
"Ddx19a","Nuclear: decreased at 5 min",-0.2695445908469521,9.618144921064609e-4,0.015154887529415066,0.26966588504685174,0.0013970725420353832,0.018694789329457364,TRUE,"Significant reversal","Nuclear reversal"
"Dusp1","Nuclear: decreased at 5 min",-0.22845334142009222,1.8728325165119275e-4,0.004831371520519672,0.48811530125602126,4.90146267053935e-7,7.516393005272094e-5,TRUE,"Significant reversal","Nuclear reversal"
"Dusp16","Nuclear: decreased at 5 min",-0.49651359234084214,1.54175499965233e-6,1.2075963616842054e-4,0.9313773574543414,1.8385672009664617e-6,1.7901224144013138e-4,TRUE,"Significant reversal","Nuclear reversal"
"Dyrk2","Nuclear: decreased at 5 min",-0.28371468492427643,1.5875332273743536e-5,7.221805241997397e-4,0.3584793684147971,8.654150093170085e-11,1.17965681492234e-7,TRUE,"Significant reversal","Nuclear reversal"
"Eif3e","Nuclear: decreased at 5 min",-0.20904756057251633,0.0027559684540796867,0.03259110820909691,0.3319210574414025,2.879359003395933e-4,0.005762475734691894,TRUE,"Significant reversal","Nuclear reversal"
"Ell2","Nuclear: decreased at 5 min",-0.31004146037635605,3.8698728464913926e-4,0.008075184478325378,0.4063757087671199,6.562087376657244e-5,0.0020872820062177826,TRUE,"Significant reversal","Nuclear reversal"
"Fam53c","Nuclear: decreased at 5 min",-0.20569416511979136,1.6171842969408631e-4,0.004326768580602424,0.25408740016030845,1.972097901843878e-4,0.004335788003552096,TRUE,"Significant reversal","Nuclear reversal"
"Far1","Nuclear: decreased at 5 min",-0.23989012661457684,1.6631577573507624e-4,0.004395372175844595,0.2994005824018343,1.381814549430114e-4,0.003356851661863097,TRUE,"Significant reversal","Nuclear reversal"
"Fdxacb1","Nuclear: decreased at 5 min",-0.57868438205644,3.01865983980091e-4,0.0069570776563769796,0.818990912962094,4.975720418630484e-6,3.468303300895385e-4,TRUE,"Significant reversal","Nuclear reversal"
"Fermt2","Nuclear: decreased at 5 min",-0.26257931888651737,0.00442344569028865,0.04493705306985903,0.38695280055534725,6.665792468691979e-5,0.002113073436845302,TRUE,"Significant reversal","Nuclear reversal"
"Fosl2","Nuclear: decreased at 5 min",-0.35705717073326537,7.452384925299437e-7,6.65725856674063e-5,0.6547189273663712,1.4115970636418403e-5,7.245804509103806e-4,TRUE,"Significant reversal","Nuclear reversal"
"Gtpbp4","Nuclear: decreased at 5 min",-0.30810452793598697,0.0021108060767359924,0.026716279722996887,0.3607932807704624,0.0015794197761520433,0.02050404424744261,TRUE,"Significant reversal","Nuclear reversal"
"Hipk3","Nuclear: decreased at 5 min",-0.1750034647545588,0.002965439492399183,0.034135714029119024,0.22698336006867478,1.314596049364893e-4,0.0032654819786708425,TRUE,"Significant reversal","Nuclear reversal"
"Hnrnpf","Nuclear: decreased at 5 min",-0.17790089900282405,0.004904012385111363,0.04872010098407052,0.23461540739836773,6.14650857337038e-4,0.010054048957081042,TRUE,"Significant reversal","Nuclear reversal"
"Ints13","Nuclear: decreased at 5 min",-0.48646386384421436,0.0022992198938490797,0.02868800757879025,0.5569700372378398,6.766631951859615e-4,0.010837211590785087,TRUE,"Significant reversal","Nuclear reversal"
"Ints8","Nuclear: decreased at 5 min",-0.23374164240740483,0.004227027158613835,0.04355570691845276,0.3614642887830735,9.178148747341865e-7,1.0998627498273638e-4,TRUE,"Significant reversal","Nuclear reversal"
"Irs1","Nuclear: decreased at 5 min",-0.3248209631683611,3.158131361975316e-4,0.007111182954265557,0.4572257885222181,1.608685003830714e-4,0.003773489030018203,TRUE,"Significant reversal","Nuclear reversal"
"Ivns1abp","Nuclear: decreased at 5 min",-0.1763636192452535,7.847727207876876e-4,0.013124345118559894,0.29006999213543866,3.500403411228931e-6,2.7527531441638795e-4,TRUE,"Significant reversal","Nuclear reversal"
"Jund","Nuclear: decreased at 5 min",-0.2434040150469899,5.1221194135742e-4,0.009764548278893039,0.4250805326816798,3.285128663625449e-4,0.006316921386419593,TRUE,"Significant reversal","Nuclear reversal"
"Kitl","Nuclear: decreased at 5 min",-0.6692074408914118,1.239017542944206e-15,1.2175036928803566e-12,1.0363367655762667,4.3659610479644326e-4,0.007842109829638016,TRUE,"Significant reversal","Nuclear reversal"
"Kpna1","Nuclear: decreased at 5 min",-0.1864358259631847,3.635738542862759e-4,0.0077512224674168755,0.2626234349160568,1.6300495228763372e-4,0.003787395368683126,TRUE,"Significant reversal","Nuclear reversal"
"Lats1","Nuclear: decreased at 5 min",-0.19643780493924448,8.608447134163818e-4,0.013982826018325041,0.2782739305849866,2.3209486735206276e-5,0.001046816114954083,TRUE,"Significant reversal","Nuclear reversal"
"Lmna","Nuclear: decreased at 5 min",-0.31139209610543717,1.0627080478545474e-5,5.418307211915002e-4,0.31606462442263195,4.088444488407379e-4,0.007441696881866725,TRUE,"Significant reversal","Nuclear reversal"
"Mdm2","Nuclear: decreased at 5 min",-0.31980287919792605,1.281086465809841e-5,6.237506130152509e-4,0.4594266621698829,8.830744087944804e-5,0.0024982019036211755,TRUE,"Significant reversal","Nuclear reversal"
"Mul1","Nuclear: decreased at 5 min",-0.3123325221952599,0.0035021753311003903,0.038314790641562874,0.408674842798543,8.404406541758798e-4,0.012650952080281833,TRUE,"Significant reversal","Nuclear reversal"
"Myc","Nuclear: decreased at 5 min",-0.5821726869402081,7.431796516281773e-9,1.580774417789037e-6,0.5228727033041395,1.2687176889310157e-7,2.829932474146491e-5,TRUE,"Significant reversal","Nuclear reversal"
"Nadk2","Nuclear: decreased at 5 min",-0.20739116918992373,0.004790445695252908,0.04794437733332285,0.3095822978911181,4.7588711490605356e-5,0.0017019096393760646,TRUE,"Significant reversal","Nuclear reversal"
"Nampt","Nuclear: decreased at 5 min",-0.18217484709624154,3.297234711523781e-4,0.007314773067390617,0.27555558240824396,3.861219179395676e-5,0.0015018698835147447,TRUE,"Significant reversal","Nuclear reversal"
"Nap1l5","Nuclear: decreased at 5 min",-0.2951111407592202,5.404784081241441e-6,3.37689659734906e-4,0.2837963857550737,0.002375300498969224,0.027259295155616876,TRUE,"Significant reversal","Nuclear reversal"
"Nedd9","Nuclear: decreased at 5 min",-0.6727042950810178,1.896937899042833e-8,3.307097056573223e-6,0.6511407960107365,6.697206860025263e-4,0.010745992077902802,TRUE,"Significant reversal","Nuclear reversal"
"Nfatc2","Nuclear: decreased at 5 min",-0.4382643956987163,7.69677831702483e-6,4.3105946543378957e-4,0.6777620752153419,2.4024925073570522e-6,2.151370662792432e-4,TRUE,"Significant reversal","Nuclear reversal"
"Nup50","Nuclear: decreased at 5 min",-0.2033987938708481,0.0022093280991801224,0.027800497583280494,0.26069125275518407,1.8928472004666968e-4,0.004221723185923591,TRUE,"Significant reversal","Nuclear reversal"
"Pde12","Nuclear: decreased at 5 min",-0.2061246239246411,0.003911932921628229,0.04137385807228917,0.3980899132303167,8.131402039809843e-5,0.0023865081393394053,TRUE,"Significant reversal","Nuclear reversal"
"Peli1","Nuclear: decreased at 5 min",-0.5482350373579711,6.6270124525197956e-12,3.14058592859054e-9,0.9182365481720755,5.572967000236793e-5,0.0018831739917487948,TRUE,"Significant reversal","Nuclear reversal"
"Per2","Nuclear: decreased at 5 min",-0.7270884899797945,3.7497488996210067e-16,5.066379482000433e-13,0.914617115623515,1.3391363470379646e-8,5.476174901820583e-6,TRUE,"Significant reversal","Nuclear reversal"
"Phf8","Nuclear: decreased at 5 min",-0.27306766349764483,2.1477162726102236e-4,0.00531228036399174,0.3966866749654367,2.3438784655819454e-7,4.356772881175652e-5,TRUE,"Significant reversal","Nuclear reversal"
"Ppat","Nuclear: decreased at 5 min",-0.3332789147447888,3.479393629628166e-5,0.0013289316516837755,0.48326214587331795,6.0495960749418745e-5,0.0019897170146752526,TRUE,"Significant reversal","Nuclear reversal"
"Ppm1d","Nuclear: decreased at 5 min",-0.23932040965606163,0.0020614240893579326,0.026249534203020498,0.3902454467063966,1.2442566376982197e-5,6.735139625882045e-4,TRUE,"Significant reversal","Nuclear reversal"
"Ppp1r15a","Nuclear: decreased at 5 min",-0.3763448701653795,1.9430760402230505e-4,0.0049769452414149176,1.0467175146466523,2.3638782595603175e-10,2.860134863172984e-7,TRUE,"Significant reversal","Nuclear reversal"
"Ranbp6","Nuclear: decreased at 5 min",-0.2628230851168653,1.1694654411634081e-4,0.003326513671982968,0.3261970606002149,7.890865172199445e-4,0.012055433864575691,TRUE,"Significant reversal","Nuclear reversal"
"Rbm39","Nuclear: decreased at 5 min",-0.18749568636431757,3.086854767312618e-4,0.007009624617622287,0.30447257701831526,3.207110120609964e-6,2.571930407864936e-4,TRUE,"Significant reversal","Nuclear reversal"
"Rlf","Nuclear: decreased at 5 min",-0.23045376192895867,8.872860975290956e-4,0.014293107940673613,0.36773164850489115,1.8621864932967638e-4,0.004181537181233099,TRUE,"Significant reversal","Nuclear reversal"
"Rngtt","Nuclear: decreased at 5 min",-0.28987993889792274,0.003588561017735488,0.03906219138036545,0.3652784409762653,9.48742495979975e-5,0.0025980296742594495,TRUE,"Significant reversal","Nuclear reversal"
"Rora","Nuclear: decreased at 5 min",-0.42060701851182647,1.1074212138213377e-6,9.28747885322173e-5,0.5989547913509871,5.0131797694203286e-5,0.001752184883511356,TRUE,"Significant reversal","Nuclear reversal"
"S100a10","Nuclear: decreased at 5 min",-0.7323101670984629,3.0617535728643454e-4,0.00697531727546095,0.5462538826256337,0.003481816650557739,0.03568498468591674,TRUE,"Significant reversal","Nuclear reversal"
"Sde2","Nuclear: decreased at 5 min",-0.3222150874732888,3.950259339818073e-6,2.587778982066276e-4,0.3558095647602069,0.0017295390190372986,0.021853260173721013,TRUE,"Significant reversal","Nuclear reversal"
