"Comparison","gene_name","RiboTag_log2FC","RiboTag_pvalue","RiboTag_padj","Status","Volcano_label"
"5v0","Adra1d",0.3352382897854193,1.509612106767071e-6,1.1910508950398008e-4,"RiboTag_Up","Not labeled"
"5v0","Dusp16",-0.49651359234084214,1.54175499965233e-6,1.2075963616842054e-4,"RiboTag_Down","Labeled decreased gene"
"5v0","Syvn1",0.281632765831467,1.5662257210276986e-6,1.2179376847905318e-4,"RiboTag_Up","Not labeled"
"5v0","Slit2",0.4473321954047163,1.6210123010951748e-6,1.2515372830384104e-4,"RiboTag_Up","Labeled increased gene"
"5v0","Ctsd",0.272966762173147,1.7527945658375454e-6,1.3391942912420175e-4,"RiboTag_Up","Not labeled"
"5v0","Them6",0.329724425769637,1.7593263887165e-6,1.3391942912420175e-4,"RiboTag_Up","Not labeled"
"5v0","Mmp17",0.24991864585259704,1.8117790832239227e-6,1.3694769308089078e-4,"RiboTag_Up","Not labeled"
"5v0","Nrip3",0.4182189681782072,1.891657731196369e-6,1.4199255844792746e-4,"RiboTag_Up","Not labeled"
"5v0","Opcml",0.18955218055923792,1.9380717022745058e-6,1.4447322089575953e-4,"RiboTag_Up","Not labeled"
"5v0","Odc1",-0.2703029566608672,2.034251005585593e-6,1.5060424054366215e-4,"RiboTag_Down","Not labeled"
"5v0","Lpl",0.3163528602380118,2.088932676933908e-6,1.5360049867332387e-4,"RiboTag_Up","Not labeled"
"5v0","Srebf2",0.2477676153903715,2.263254570260008e-6,1.652940449320299e-4,"RiboTag_Up","Not labeled"
"5v0","Prrt3",0.330304057859176,2.4593616051121697e-6,1.7841100395743248e-4,"RiboTag_Up","Not labeled"
"5v0","Cd47",0.2695782654339142,2.531848338958353e-6,1.824449913053389e-4,"RiboTag_Up","Not labeled"
"5v0","Lrtm2",0.37490513172964307,2.5705480166899247e-6,1.840069769033205e-4,"RiboTag_Up","Labeled increased gene"
"5v0","Epdr1",0.23408350390549612,2.659452036199451e-6,1.8911853328473598e-4,"RiboTag_Up","Not labeled"
"5v0","Klf6",-0.3425666239501251,2.810775312936161e-6,1.9857300887272527e-4,"RiboTag_Down","Not labeled"
"5v0","Clcn6",0.2960400257975443,2.9211279872343175e-6,2.037062736388112e-4,"RiboTag_Up","Not labeled"
"5v0","Serinc1",0.2456793928143012,2.9170608310195392e-6,2.037062736388112e-4,"RiboTag_Up","Not labeled"
"5v0","Tgfa",0.3728484575474167,3.037739761870997e-6,2.1048031465425388e-4,"RiboTag_Up","Not labeled"
"5v0","Rasl11b",-0.4523060698582471,3.1480137918481853e-6,2.1673172659928048e-4,"RiboTag_Down","Not labeled"
"5v0","Myo16",-0.6526030496344547,3.2057231196930684e-6,2.193079822833062e-4,"RiboTag_Down","Not labeled"
"5v0","Zc3h12c",-0.36607575015916105,3.3703156831277592e-6,2.291178755907418e-4,"RiboTag_Down","Not labeled"
"5v0","Arl6ip5",0.21919126769543276,3.394665388301341e-6,2.2933086363843247e-4,"RiboTag_Up","Not labeled"
"5v0","Ctnnd1",-0.4578380698425491,3.651691919079452e-6,2.451623475362099e-4,"RiboTag_Down","Not labeled"
"5v0","Laptm4a",0.3057443718320198,3.679990850485214e-6,2.4553716730181904e-4,"RiboTag_Up","Not labeled"
"5v0","Slc2a13",0.2742207726147364,3.7228149488260187e-6,2.46870593753745e-4,"RiboTag_Up","Not labeled"
"5v0","Palmd",-0.5320793713883587,3.885293208177219e-6,2.5607398955602165e-4,"RiboTag_Down","Not labeled"
"5v0","Sde2",-0.3222150874732888,3.950259339818073e-6,2.587778982066276e-4,"RiboTag_Down","Labeled decreased gene"
"5v0","Rhbdd1",0.6326058768163629,4.793433811645721e-6,3.121218437956542e-4,"RiboTag_Up","Not labeled"
"5v0","Timp2",-0.41715940904716714,4.862129331861159e-6,3.146991374136962e-4,"RiboTag_Down","Not labeled"
"5v0","Aplp2",0.22324174756884013,5.0335382486780905e-6,3.186882430474185e-4,"RiboTag_Up","Not labeled"
"5v0","Gdf10",0.6268027466735152,5.071179369428807e-6,3.186882430474185e-4,"RiboTag_Up","Not labeled"
"5v0","Sort1",0.19762905635582811,4.9987972317986124e-6,3.186882430474185e-4,"RiboTag_Up","Not labeled"
"5v0","Tmem184b",0.28168034391520785,5.0655652965117194e-6,3.186882430474185e-4,"RiboTag_Up","Not labeled"
"5v0","Zfp608",-0.26299627679259996,5.0473662568686295e-6,3.186882430474185e-4,"RiboTag_Down","Not labeled"
"5v0","Nap1l5",-0.2951111407592202,5.404784081241441e-6,3.37689659734906e-4,"RiboTag_Down","Labeled decreased gene"
"5v0","Ppm1l",0.2262410366491818,5.487015840732453e-6,3.408572081751557e-4,"RiboTag_Up","Not labeled"
"5v0","Ddost",0.25926954299561183,5.579329029249484e-6,3.4461124272661527e-4,"RiboTag_Up","Not labeled"
"5v0","Gabrb1",0.23637104297985775,5.701566349120546e-6,3.499165543448443e-4,"RiboTag_Up","Not labeled"
"5v0","Nipal3",0.3021674759658619,5.72996855574405e-6,3.499165543448443e-4,"RiboTag_Up","Not labeled"
"5v0","Plbd2",0.3706219398768983,6.0157372819228524e-6,3.65303956630922e-4,"RiboTag_Up","Not labeled"
"5v0","Crim1",0.21353758878961077,6.2166211288771444e-6,3.753936188940394e-4,"RiboTag_Up","Not labeled"
"5v0","Faim2",0.19923609902933662,6.4751374172548076e-6,3.866837588016973e-4,"RiboTag_Up","Not labeled"
"5v0","Setbp1",-0.30016447498409776,6.449830464104866e-6,3.866837588016973e-4,"RiboTag_Down","Not labeled"
"5v0","Epha7",0.2089239022171526,6.5541483002927066e-6,3.892515877904608e-4,"RiboTag_Up","Labeled increased gene"
"5v0","Trim66",0.627308510760174,6.6757140107707425e-6,3.94304878373885e-4,"RiboTag_Up","Not labeled"
"5v0","Il16",0.28614978628236776,6.839145818691727e-6,4.017626475773852e-4,"RiboTag_Up","Not labeled"
